                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3539,                 1.1526,                 1.2889,                0.67132,                 0.7275,                0.73957,                0.47385,                 1.2805,                 1.0749,                  1.283,              0.0017386,              0.0017386,              0.0017386
                     35,                 1.3069,                  1.107,                 1.2533,                0.76614,                 0.6975,                0.76636,                0.50387,                 1.2387,                 1.0242,                 1.2398,              0.0017307,              0.0017307,              0.0017307
                     36,                 1.3094,                 1.1048,                  1.265,                0.74554,                0.72514,                 0.7705,                0.48925,                 1.2757,                 1.0777,                 1.2533,              0.0017228,              0.0017228,              0.0017228
                     37,                 1.3086,                 1.0793,                 1.2606,                0.74131,                 0.7525,                0.77041,                0.49631,                 1.2629,                 1.0292,                 1.2493,              0.0017149,              0.0017149,              0.0017149
                     38,                 1.3257,                 1.1154,                 1.2706,                0.74139,                0.72388,                 0.7804,                0.51257,                 1.2217,                 1.0168,                 1.2028,               0.001707,               0.001707,               0.001707
                     39,                 1.3147,                 1.0966,                 1.2693,                0.75559,                 0.7125,                 0.7825,                0.51712,                 1.1962,                 0.9997,                 1.1916,               0.001699,               0.001699,               0.001699
                     40,                 1.2994,                 1.0776,                 1.2457,                 0.7346,                   0.79,                0.79096,                 0.5222,                 1.2071,                0.96527,                 1.2085,              0.0016911,              0.0016911,              0.0016911
                     41,                 1.2924,                 1.0934,                 1.2438,                0.72651,                  0.765,                0.78886,                0.52183,                 1.2111,                0.97899,                 1.2105,              0.0016832,              0.0016832,              0.0016832
                     42,                 1.2924,                 1.0603,                 1.2528,                0.78175,                 0.7525,                0.79616,                0.51169,                 1.2475,                0.96973,                 1.2385,              0.0016753,              0.0016753,              0.0016753
                     43,                 1.2739,                 1.0114,                  1.241,                0.78728,                0.74946,                0.79773,                0.53429,                  1.204,                0.94036,                 1.2013,              0.0016674,              0.0016674,              0.0016674
                     44,                 1.2646,                 1.0504,                 1.2407,                0.77186,                0.71897,                0.76163,                0.48747,                 1.2491,                 1.0217,                 1.2332,              0.0016594,              0.0016594,              0.0016594
                     45,                 1.2713,                 1.0481,                 1.2412,                0.73421,                 0.7525,                0.77194,                0.50813,                 1.2062,                0.98921,                  1.218,              0.0016515,              0.0016515,              0.0016515
                     46,                 1.2505,                 1.0215,                 1.2206,                0.74797,                 0.7325,                0.78534,                0.51681,                 1.2017,                0.99108,                 1.2142,              0.0016436,              0.0016436,              0.0016436
                     47,                 1.2634,                 1.0142,                 1.2287,                0.76316,                0.78142,                0.80959,                0.53261,                 1.2092,                0.91056,                 1.2102,              0.0016357,              0.0016357,              0.0016357
                     48,                 1.2796,                0.99512,                 1.2428,                0.76578,                 0.7475,                 0.7862,                0.52225,                 1.2017,                 0.9555,                    1.2,              0.0016278,              0.0016278,              0.0016278
                     49,                 1.2272,                0.97387,                  1.213,                0.75882,                 0.7775,                0.80495,                0.55133,                 1.1528,                0.91729,                 1.1779,              0.0016198,              0.0016198,              0.0016198
                     50,                 1.2231,                 1.0008,                 1.2117,                0.76478,                 0.7722,                0.81928,                0.55805,                 1.1314,                0.89259,                  1.163,              0.0016119,              0.0016119,              0.0016119
                     51,                 1.2228,                 0.9889,                  1.203,                0.78655,                  0.755,                0.81527,                0.54621,                 1.1435,                0.91363,                 1.1699,               0.001604,               0.001604,               0.001604
                     52,                 1.2207,                0.98576,                 1.2093,                0.80917,                0.76326,                0.81232,                0.54653,                 1.1568,                0.91773,                 1.1962,              0.0015961,              0.0015961,              0.0015961
                     53,                 1.2447,                0.97702,                 1.2212,                0.76654,                0.78801,                0.82735,                0.55351,                 1.1784,                0.88371,                  1.197,              0.0015882,              0.0015882,              0.0015882
                     54,                 1.2113,                0.96489,                 1.2124,                0.76458,                0.82006,                0.83988,                0.56789,                 1.1501,                0.86201,                  1.192,              0.0015802,              0.0015802,              0.0015802
                     55,                 1.2021,                0.95794,                 1.1958,                0.81555,                  0.785,                0.85312,                0.57844,                 1.1208,                0.84751,                 1.1586,              0.0015723,              0.0015723,              0.0015723
                     56,                 1.2099,                0.94859,                 1.2009,                0.76731,                0.81613,                0.84598,                0.58326,                 1.0969,                 0.8324,                  1.148,              0.0015644,              0.0015644,              0.0015644
                     57,                 1.2096,                0.92349,                 1.1946,                0.81024,                0.77924,                0.84303,                0.58898,                 1.1124,                0.82548,                 1.1546,              0.0015565,              0.0015565,              0.0015565
                     58,                 1.1889,                0.94067,                 1.1807,                0.79197,                  0.765,                0.81595,                0.54725,                 1.1924,                0.89466,                 1.1888,              0.0015486,              0.0015486,              0.0015486
                     59,                 1.1961,                0.92797,                 1.1866,                0.76758,                   0.84,                0.86669,                 0.6031,                 1.0857,                0.79736,                 1.1068,              0.0015406,              0.0015406,              0.0015406
                     60,                 1.1908,                0.92867,                 1.1871,                0.81527,                   0.81,                0.85573,                 0.6038,                 1.0753,                0.81262,                 1.1301,              0.0015327,              0.0015327,              0.0015327
                     61,                 1.1999,                0.92153,                 1.1939,                0.84947,                   0.81,                   0.88,                0.60825,                 1.0925,                0.79073,                 1.1356,              0.0015248,              0.0015248,              0.0015248
                     62,                 1.1781,                0.90043,                 1.1905,                0.84165,                 0.7825,                0.85473,                0.58117,                 1.1104,                0.81541,                  1.155,              0.0015169,              0.0015169,              0.0015169
                     63,                 1.2141,                0.92604,                 1.2087,                0.81411,                0.83211,                0.87673,                0.62079,                 1.0623,                0.75387,                 1.1229,               0.001509,               0.001509,               0.001509
                     64,                 1.1719,                0.90678,                 1.1812,                0.78975,                0.82639,                0.86427,                0.59935,                 1.0972,                0.77962,                 1.1408,               0.001501,               0.001501,               0.001501
                     65,                 1.1733,                0.89068,                  1.178,                0.85073,                   0.82,                 0.8821,                0.62805,                 1.0333,                0.74692,                 1.1018,              0.0014931,              0.0014931,              0.0014931
                     66,                 1.1672,                0.88753,                 1.1824,                  0.812,                  0.795,                0.86254,                0.61944,                 1.0439,                0.80365,                 1.1083,              0.0014852,              0.0014852,              0.0014852
                     67,                 1.1458,                0.86601,                 1.1678,                0.84328,                 0.8275,                0.89707,                0.63088,                 1.0549,                0.74873,                 1.1228,              0.0014773,              0.0014773,              0.0014773
                     68,                 1.1618,                0.87662,                  1.179,                0.80566,                0.87058,                0.88561,                0.63505,                 1.0322,                0.74949,                 1.1001,              0.0014694,              0.0014694,              0.0014694
                     69,                 1.1682,                0.86599,                 1.1773,                0.83148,                 0.8375,                0.88122,                0.62322,                 1.0532,                0.75073,                 1.1169,              0.0014614,              0.0014614,              0.0014614
                     70,                 1.1445,                0.85467,                 1.1684,                0.82394,                   0.86,                0.90007,                0.64409,                 1.0217,                0.71175,                 1.0965,              0.0014535,              0.0014535,              0.0014535
                     71,                 1.1427,                0.86002,                  1.165,                0.86497,                0.80073,                0.89798,                0.65425,                 0.9984,                0.72518,                 1.0732,              0.0014456,              0.0014456,              0.0014456
                     72,                 1.1511,                0.85693,                 1.1691,                0.85013,                 0.8175,                 0.8937,                0.63925,                 1.0369,                0.73128,                 1.0891,              0.0014377,              0.0014377,              0.0014377
                     73,                 1.1249,                 0.8155,                 1.1411,                0.83892,                 0.8375,                0.90699,                0.64825,                 1.0295,                0.71549,                 1.0825,              0.0014298,              0.0014298,              0.0014298
                     74,                 1.1268,                0.84095,                   1.15,                0.86814,                  0.835,                0.91138,                0.66769,                0.99306,                0.68871,                 1.0837,              0.0014218,              0.0014218,              0.0014218
                     75,                 1.1467,                0.84086,                 1.1591,                0.84942,                0.81793,                0.89815,                0.64167,                  1.037,                0.70459,                 1.0989,              0.0014139,              0.0014139,              0.0014139
                     76,                 1.1416,                0.83809,                 1.1488,                0.86343,                 0.8575,                0.90667,                0.67226,                0.97557,                0.68892,                 1.0554,               0.001406,               0.001406,               0.001406
                     77,                 1.1114,                0.83353,                 1.1395,                0.87709,                   0.87,                0.92411,                0.67519,                0.97104,                0.66241,                 1.0558,              0.0013981,              0.0013981,              0.0013981
                     78,                 1.1101,                0.80196,                 1.1327,                0.83424,                   0.87,                 0.9183,                0.67296,                0.97681,                0.67823,                 1.0539,              0.0013902,              0.0013902,              0.0013902
                     79,                  1.111,                0.82095,                 1.1382,                0.89096,                 0.8725,                0.94062,                0.68617,                 1.0077,                0.64629,                 1.0751,              0.0013822,              0.0013822,              0.0013822
                     80,                   1.09,                0.79726,                 1.1293,                 0.8717,                 0.8425,                0.92799,                0.68893,                0.93984,                0.65258,                  1.041,              0.0013743,              0.0013743,              0.0013743
                     81,                 1.0915,                0.81021,                 1.1305,                0.87734,                   0.85,                0.92547,                0.67506,                 1.0091,                0.65847,                 1.0859,              0.0013664,              0.0013664,              0.0013664
                     82,                 1.0865,                0.79576,                 1.1307,                0.84334,                 0.8875,                0.93305,                0.68619,                0.95095,                0.64495,                 1.0541,              0.0013585,              0.0013585,              0.0013585
                     83,                 1.0915,                0.78715,                 1.1324,                0.87816,                 0.8425,                0.91836,                0.67043,                 0.9962,                0.67421,                 1.0648,              0.0013506,              0.0013506,              0.0013506
                     84,                 1.0829,                0.78169,                 1.1261,                0.86314,                 0.8925,                 0.9391,                0.70112,                0.94721,                0.62157,                 1.0384,              0.0013426,              0.0013426,              0.0013426
                     85,                 1.0853,                 0.7721,                 1.1243,                0.86623,                    0.9,                0.93305,                0.70256,                0.93812,                0.61912,                 1.0343,              0.0013347,              0.0013347,              0.0013347
                     86,                 1.0926,                0.77978,                 1.1265,                 0.8815,                0.87403,                0.93833,                0.70057,                 0.9284,                0.61369,                 1.0307,              0.0013268,              0.0013268,              0.0013268
                     87,                 1.0567,                0.76052,                 1.1128,                0.90322,                0.88659,                0.94427,                0.71129,                0.93701,                0.60344,                 1.0411,              0.0013189,              0.0013189,              0.0013189
                     88,                 1.0526,                0.76443,                 1.1151,                0.86229,                  0.885,                 0.9309,                0.68653,                0.97354,                0.61901,                 1.0598,               0.001311,               0.001311,               0.001311
                     89,                 1.0687,                0.77413,                 1.1117,                0.87579,                  0.895,                0.94123,                0.70709,                0.91491,                0.60222,                 1.0215,               0.001303,               0.001303,               0.001303
                     90,                  1.084,                0.78353,                  1.121,                 0.8475,                 0.8975,                0.94175,                0.70375,                0.94209,                0.61014,                 1.0315,              0.0012951,              0.0012951,              0.0012951
                     91,                 1.0698,                0.76898,                 1.1209,                0.90073,                 0.8825,                 0.9501,                0.70994,                 0.9241,                0.60078,                 1.0405,              0.0012872,              0.0012872,              0.0012872
                     92,                 1.0492,                0.73769,                 1.1103,                 0.9193,                    0.9,                0.95898,                0.72369,                0.91707,                0.58596,                 1.0274,              0.0012793,              0.0012793,              0.0012793
                     93,                  1.065,                0.75126,                 1.1134,                0.84567,                 0.8875,                0.93765,                0.69147,                0.95444,                0.61621,                   1.03,              0.0012714,              0.0012714,              0.0012714
                     94,                 1.0772,                0.75832,                 1.1182,                0.89747,                   0.91,                0.95489,                0.72506,                0.89194,                0.56096,                 1.0176,              0.0012634,              0.0012634,              0.0012634
                     95,                 1.0355,                0.70491,                 1.1064,                0.90429,                0.89759,                0.95458,                 0.7203,                0.92027,                0.59362,                 1.0194,              0.0012555,              0.0012555,              0.0012555
                     96,                 1.0507,                0.74818,                 1.0953,                0.88781,                    0.9,                0.95128,                0.72808,                0.88105,                0.57095,                  1.001,              0.0012476,              0.0012476,              0.0012476
                     97,                 1.0269,                0.72141,                 1.0922,                 0.9078,                0.93536,                0.96858,                0.74741,                0.89145,                0.53209,                 1.0123,              0.0012397,              0.0012397,              0.0012397
                     98,                 1.0598,                0.72737,                 1.1056,                0.90032,                   0.91,                0.95386,                0.72874,                0.90109,                0.56696,                 1.0072,              0.0012318,              0.0012318,              0.0012318
                     99,                 1.0359,                0.71236,                    1.1,                0.92217,                 0.8886,                0.96224,                0.73341,                0.87346,                0.55542,                 1.0041,              0.0012238,              0.0012238,              0.0012238
                    100,                 1.0474,                0.73523,                 1.1077,                0.90791,                0.91195,                0.96368,                0.75033,                0.86482,                0.53437,                0.99563,              0.0012159,              0.0012159,              0.0012159
                    101,                 1.0346,                0.71434,                 1.1029,                 0.9077,                   0.93,                0.96727,                0.74593,                0.88542,                 0.5317,                 1.0069,               0.001208,               0.001208,               0.001208
                    102,                 1.0125,                0.70871,                 1.0792,                0.92462,                 0.9075,                0.97013,                0.75284,                0.86307,                0.52899,                 0.9922,              0.0012001,              0.0012001,              0.0012001
                    103,                 1.0239,                0.70451,                 1.0855,                 0.9294,                0.92151,                0.97474,                 0.7654,                0.82569,                0.50739,                0.98373,              0.0011922,              0.0011922,              0.0011922
                    104,                0.99574,                0.67359,                 1.0729,                0.93191,                   0.92,                0.97005,                0.76202,                0.83993,                0.50322,                0.98328,              0.0011842,              0.0011842,              0.0011842
                    105,                0.99712,                0.67255,                 1.0823,                0.92998,                0.92976,                0.97401,                0.77565,                0.81585,                0.48622,                 0.9745,              0.0011763,              0.0011763,              0.0011763
                    106,                 0.9925,                0.67789,                 1.0753,                0.94456,                   0.91,                0.97617,                0.77058,                0.81272,                0.48744,                 0.9667,              0.0011684,              0.0011684,              0.0011684
