                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3337,                 1.1475,                 1.2849,                0.72448,                0.70341,                 0.7466,                0.49372,                 1.2192,                 1.0628,                 1.2507,               0.001604,               0.001604,               0.001604
                     35,                 1.2912,                 1.0966,                 1.2574,                 0.7499,                0.65964,                 0.7293,                0.48044,                 1.2569,                 1.1192,                 1.2695,              0.0015916,              0.0015916,              0.0015916
                     36,                 1.3135,                 1.1135,                 1.2686,                0.72534,                   0.78,                0.77828,                0.50938,                 1.1807,                  1.019,                 1.1933,              0.0015793,              0.0015793,              0.0015793
                     37,                 1.2882,                 1.0698,                 1.2432,                0.72988,                0.68902,                0.72969,                0.46279,                 1.2591,                  1.093,                 1.2511,              0.0015669,              0.0015669,              0.0015669
                     38,                 1.3202,                 1.0959,                 1.2702,                0.70199,                0.73612,                0.76764,                0.51019,                 1.2087,                  1.056,                 1.2114,              0.0015545,              0.0015545,              0.0015545
                     39,                 1.2887,                 1.0727,                 1.2622,                0.75378,                0.71942,                0.78681,                0.53429,                 1.1474,                0.98103,                 1.1889,              0.0015421,              0.0015421,              0.0015421
                     40,                 1.2975,                 1.0833,                 1.2603,                0.76307,                   0.71,                 0.7682,                0.51256,                 1.1747,                0.99258,                 1.1925,              0.0015298,              0.0015298,              0.0015298
                     41,                   1.27,                 1.0723,                 1.2389,                0.74916,                0.78398,                0.80758,                0.54878,                 1.1103,                0.93455,                  1.156,              0.0015174,              0.0015174,              0.0015174
                     42,                 1.2773,                 1.0506,                  1.239,                0.74676,                  0.765,                0.80044,                0.51577,                 1.2104,                0.99873,                 1.2191,               0.001505,               0.001505,               0.001505
                     43,                 1.2772,                0.99943,                   1.24,                0.73246,                0.75975,                 0.7744,                0.51589,                 1.2045,                0.98596,                 1.2198,              0.0014926,              0.0014926,              0.0014926
                     44,                 1.2621,                 1.0439,                 1.2408,                0.74356,                   0.73,                 0.7775,                0.50688,                 1.2323,                0.99599,                 1.2287,              0.0014803,              0.0014803,              0.0014803
                     45,                 1.2555,                 1.0233,                 1.2308,                0.74328,                0.77448,                0.80438,                0.54888,                 1.1236,                0.94405,                 1.1663,              0.0014679,              0.0014679,              0.0014679
                     46,                 1.2269,                 1.0118,                  1.209,                0.72952,                 0.7825,                0.80226,                0.53734,                 1.1524,                0.95237,                 1.1725,              0.0014555,              0.0014555,              0.0014555
                     47,                 1.2491,                 1.0098,                 1.2274,                0.74117,                0.74451,                0.78954,                0.54024,                  1.148,                0.97625,                 1.1864,              0.0014431,              0.0014431,              0.0014431
                     48,                   1.25,                 1.0065,                 1.2225,                0.78142,                0.76864,                0.82429,                0.56106,                 1.1271,                0.88816,                 1.1613,              0.0014307,              0.0014307,              0.0014307
                     49,                  1.221,                0.97275,                 1.2167,                0.78238,                0.79094,                 0.8269,                0.55733,                 1.1172,                0.87404,                 1.1634,              0.0014184,              0.0014184,              0.0014184
                     50,                 1.2143,                0.99274,                 1.2086,                  0.795,                0.75623,                 0.8271,                0.57668,                 1.0982,                0.88694,                 1.1229,               0.001406,               0.001406,               0.001406
                     51,                 1.2329,                0.99683,                 1.2073,                0.75906,                 0.7725,                0.81892,                0.55638,                 1.1215,                0.90219,                 1.1574,              0.0013936,              0.0013936,              0.0013936
                     52,                 1.2176,                0.98412,                 1.2122,                0.79099,                0.77582,                0.82766,                0.57505,                 1.1007,                0.88492,                 1.1527,              0.0013813,              0.0013813,              0.0013813
                     53,                 1.2238,                0.95115,                 1.2111,                 0.7826,                0.81896,                0.84371,                0.57091,                 1.1188,                0.84544,                 1.1473,              0.0013689,              0.0013689,              0.0013689
                     54,                  1.202,                0.97032,                 1.2079,                0.77734,                  0.785,                0.83377,                 0.5889,                 1.0939,                0.86734,                 1.1492,              0.0013565,              0.0013565,              0.0013565
                     55,                 1.1995,                0.94473,                 1.2006,                0.81584,                   0.81,                0.85584,                0.59642,                 1.0718,                0.81973,                 1.1279,              0.0013441,              0.0013441,              0.0013441
